time,open,high,low,close,vwap,volume,count
2020-04-02 23:00:00,6828.73,6828.73,6768.00,6805.50,6809.50,0.25728099,11
2020-04-03 00:00:00,6805.50,6805.60,6805.50,6805.60,6805.60,0.18856287,1
2020-04-03 01:00:00,6805.60,6805.60,6805.60,6805.60,0.00,0.00000000,0
2020-04-03 02:00:00,6805.60,6830.38,6805.60,6830.38,6828.64,2.70395957,15
2020-04-03 03:00:00,6830.38,6830.38,6800.00,6800.00,6802.93,1.07318114,6
2020-04-03 04:00:00,6797.46,6797.46,6763.71,6763.71,6778.69,0.01157329,2
2020-04-03 05:00:00,6763.71,6763.71,6763.71,6763.71,0.00,0.00000000,0
2020-04-03 06:00:00,6763.71,6763.71,6763.71,6763.71,0.00,0.00000000,0
2020-04-03 07:00:00,6763.71,6873.17,6763.71,6870.30,6870.68,0.15693110,3
2020-04-03 08:00:00,6870.30,6870.30,6870.30,6870.30,0.00,0.00000000,0
2020-04-03 09:00:00,6870.30,6917.61,6870.30,6914.00,6917.41,0.06477462,5
2020-04-03 10:00:00,6914.00,7018.39,6914.00,7018.39,7018.39,1.00000000,1
2020-04-03 11:00:00,6995.04,6995.04,6958.00,6958.00,6964.98,0.19554545,6
2020-04-03 12:00:00,6958.00,6958.00,6907.26,6933.40,6930.18,0.22382938,6
2020-04-03 13:00:00,6943.04,6943.04,6894.50,6903.40,6905.41,1.67223518,9
2020-04-03 14:00:00,6903.40,6903.40,6829.87,6831.26,6836.58,0.01558885,3
2020-04-03 15:00:00,6831.26,6831.26,6700.00,6720.09,6751.27,2.42544932,22
2020-04-03 16:00:00,6722.60,6739.75,6636.18,6739.75,6686.74,2.65950476,61
2020-04-03 17:00:00,6739.75,6739.75,6729.90,6733.38,6732.31,0.00857901,2
2020-04-03 18:00:00,6724.16,6748.44,6724.16,6748.44,6747.96,0.70826335,9
2020-04-03 19:00:00,6748.44,6781.77,6746.70,6781.77,6764.01,2.23050000,11
2020-04-03 20:00:00,6781.77,6793.08,6781.77,6793.08,6793.08,0.94047923,4
2020-04-03 21:00:00,6793.08,6793.08,6793.08,6793.08,0.00,0.00000000,0
2020-04-03 22:00:00,6793.08,6793.08,6739.29,6739.29,6739.29,0.00725194,1
2020-04-03 23:00:00,6772.55,6772.55,6772.55,6772.55,6772.55,0.00405900,1
2020-04-04 00:00:00,6772.55,6772.55,6772.55,6772.55,0.00,0.00000000,0
2020-04-04 01:00:00,6772.55,6772.55,6772.55,6772.55,0.00,0.00000000,0
2020-04-04 02:00:00,6772.55,6772.55,6772.55,6772.55,0.00,0.00000000,0
2020-04-04 03:00:00,6772.55,6772.55,6772.55,6772.55,0.00,0.00000000,0
2020-04-04 04:00:00,6772.55,6772.55,6772.55,6772.55,0.00,0.00000000,0
2020-04-04 05:00:00,6772.55,6772.55,6750.00,6750.00,6750.00,0.01795000,1
2020-04-04 06:00:00,6750.00,6750.00,6717.47,6717.47,6717.47,0.00770600,1
2020-04-04 07:00:00,6717.47,6717.47,6717.47,6717.47,0.00,0.00000000,0
2020-04-04 08:00:00,6717.47,6772.55,6717.47,6772.55,6772.55,0.00294057,2
2020-04-04 09:00:00,6772.55,6838.82,6772.55,6838.82,6838.82,0.01096521,1
